Date,Description,Original Description,Category,Amount,Status
2025-05-02,"PAI ISO                  BRIGHTON     CO","PAI ISO                  BRIGHTON     CO",Category Pending,-53.30,Posted
2025-05-02,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-12.75,Posted
2025-05-02,"ATM REBATE","ATM REBATE",Category Pending,3.30,Posted
2025-05-01,"Microsoft*Ultimate 1 Mo  425-6816830  WA","Microsoft*Ultimate 1 Mo  425-6816830  WA",Category Pending,-21.47,Posted
2025-04-30,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-16.21,Posted
2025-04-30,"KING SOOPERS # 0116      THORNTON     CO","KING SOOPERS # 0116      THORNTON     CO",Category Pending,-6.42,Posted
2025-04-30,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,670.62,Posted
2025-04-29,"3OH3 SMOKES AND VAPES    DENVER       CO","3OH3 SMOKES AND VAPES    DENVER       CO",Category Pending,-35.38,Posted
2025-04-28,"Zelle: Zack Brown","Zelle: Zack Brown",Category Pending,-125.00,Posted
2025-04-28,"BRUNTZ TOOLS LLC         THORNTON     CO","BRUNTZ TOOLS LLC         THORNTON     CO",Category Pending,-50.00,Posted
2025-04-28,"GRUBHUB*TACOBELL         GRUBHUB.COM  NY","GRUBHUB*TACOBELL         GRUBHUB.COM  NY",Category Pending,-41.77,Posted
2025-04-28,"GRUBHUB*TACOBELL         GRUBHUB.COM  NY","GRUBHUB*TACOBELL         GRUBHUB.COM  NY",Category Pending,-41.30,Posted
2025-04-28,"RAISING CANES 0489       THORNTON     CO","RAISING CANES 0489       THORNTON     CO",Category Pending,-31.90,Posted
2025-04-28,"KING SOOPERS FUEL # 0716 THORNTON     CO","KING SOOPERS FUEL # 0716 THORNTON     CO",Category Pending,-27.14,Posted
2025-04-28,"Zelle: Justin","Zelle: Justin",Category Pending,-24.00,Posted
2025-04-28,"ESCO INSTITUTE  LTD      ESCOGROUP.ORGIL","ESCO INSTITUTE  LTD      ESCOGROUP.ORGIL",Category Pending,-20.00,Posted
2025-04-28,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-16.21,Posted
2025-04-28,"KING SOOPERS # 0116      THORNTON     CO","KING SOOPERS # 0116      THORNTON     CO",Category Pending,-10.83,Posted
2025-04-28,"BURRITOS TO GO           BROOMFIELD   CO","BURRITOS TO GO           BROOMFIELD   CO",Category Pending,-10.09,Posted
2025-04-28,"KING SOOPERS FUEL # 0716 THORNTON     CO","KING SOOPERS FUEL # 0716 THORNTON     CO",Category Pending,-1.15,Posted
2025-04-25,"DUTCH BROS CO1301 WESTM  WESTMINSTER  CO","DUTCH BROS CO1301 WESTM  WESTMINSTER  CO",Category Pending,-7.11,Posted
2025-04-24,"CAPITAL ONE      MOBILE PMT ***********RQUE","CAPITAL ONE      MOBILE PMT ***********RQUE",Category Pending,-50.00,Posted
2025-04-24,"DISCOVER         E-PAYMENT  ***********2205","DISCOVER         E-PAYMENT  ***********2205",Category Pending,-50.00,Posted
2025-04-24,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-60.00,Posted
2025-04-24,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-17.19,Posted
2025-04-23,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-16.21,Posted
2025-04-23,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,730.38,Posted
2025-04-22,"SQ *RED STAR VAPOR-LONG  Longmont     CO","SQ *RED STAR VAPOR-LONG  Longmont     CO",Category Pending,-29.34,Posted
2025-04-21,"STEVINSON HYUNDAI OF LO  LONGMONT     CO","STEVINSON HYUNDAI OF LO  LONGMONT     CO",Category Pending,-2348.00,Posted
2025-04-21,"BLITZ PAINTBALL          DACONO       CO","BLITZ PAINTBALL          DACONO       CO",Category Pending,-60.64,Posted
2025-04-21,"BRUNTZ TOOLS LLC         THORNTON     CO","BRUNTZ TOOLS LLC         THORNTON     CO",Category Pending,-50.00,Posted
2025-04-21,"Zelle: Caitlyn","Zelle: Caitlyn",Category Pending,-20.00,Posted
2025-04-18,"INTEREST PAID","INTEREST PAID",Category Pending,0.02,Posted
2025-04-18,"CO DEPT REVENUE  COSTTAXRFD ***********3097","CO DEPT REVENUE  COSTTAXRFD ***********3097",Category Pending,668.00,Posted
2025-04-17,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-50.00,Posted
2025-04-17,"SONIC DRIVE IN #6878     THORNTON     CO","SONIC DRIVE IN #6878     THORNTON     CO",Category Pending,-22.44,Posted
2025-04-17,"MCDONALD'S F33007        THORNTON     CO","MCDONALD'S F33007        THORNTON     CO",Category Pending,-15.82,Posted
2025-04-16,"PANDORA*INTERNET RADIO   PDORA.COM/BILCA","PANDORA*INTERNET RADIO   PDORA.COM/BILCA",Category Pending,-11.31,Posted
2025-04-16,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,630.76,Posted
2025-04-16,"IRS  TREAS 310     TAX REF  ***********0918","IRS  TREAS 310     TAX REF  ***********0918",Category Pending,368.00,Posted
2025-04-14,"GET AIR LONGMONT         LONGMONT     CO","GET AIR LONGMONT         LONGMONT     CO",Category Pending,-47.76,Posted
2025-04-14,"DAIRY QUEEN #13393       LONGMONT     CO","DAIRY QUEEN #13393       LONGMONT     CO",Category Pending,-29.97,Posted
2025-04-14,"KING SOOPERS # 0116      THORNTON     CO","KING SOOPERS # 0116      THORNTON     CO",Category Pending,-11.73,Posted
2025-04-14,"AMAZON PRIME*OX16R3Y13   Amzn.com/billWA","AMAZON PRIME*OX16R3Y13   Amzn.com/billWA",Category Pending,-7.97,Posted
2025-04-11,"QT 4202 OUTSIDE          FIRESTONE    CO","QT 4202 OUTSIDE          FIRESTONE    CO",Category Pending,-60.72,Posted
2025-04-11,"INTUIT *TURBOTAX         CL.INTUIT.COMCA","INTUIT *TURBOTAX         CL.INTUIT.COMCA",Category Pending,-20.00,Posted
2025-04-10,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-50.00,Posted
2025-04-10,"DAIRY QUEEN #13393       LONGMONT     CO","DAIRY QUEEN #13393       LONGMONT     CO",Category Pending,-23.35,Posted
2025-04-09,"Zelle: Clayton","Zelle: Clayton",Category Pending,-338.00,Posted
2025-04-09,"Zelle: Zack Brown","Zelle: Zack Brown",Category Pending,-300.00,Posted
2025-04-09,"DAIRY QUEEN #13393       LONGMONT     CO","DAIRY QUEEN #13393       LONGMONT     CO",Category Pending,-21.17,Posted
2025-04-09,"BURGER KING #22546       DACONO       CO","BURGER KING #22546       DACONO       CO",Category Pending,-14.60,Posted
2025-04-09,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,617.07,Posted
2025-04-07,"CHILI'S LARKRIDGE        THORNTON     CO","CHILI'S LARKRIDGE        THORNTON     CO",Category Pending,-65.51,Posted
2025-04-07,"QT 4202 OUTSIDE          FIRESTONE    CO","QT 4202 OUTSIDE          FIRESTONE    CO",Category Pending,-60.40,Posted
2025-04-07,"Vape Pros Broomfield     Broomfield   CO","Vape Pros Broomfield     Broomfield   CO",Category Pending,-36.66,Posted
2025-04-07,"FANDANGO    *            FANDANGO.COM CA","FANDANGO    *            FANDANGO.COM CA",Category Pending,-25.14,Posted
2025-04-07,"SONIC DRIVE IN #6674     ERIE         CO","SONIC DRIVE IN #6674     ERIE         CO",Category Pending,-18.88,Posted
2025-04-07,"Vape Pros Broomfield     Broomfield   CO","Vape Pros Broomfield     Broomfield   CO",Category Pending,-18.13,Posted
2025-04-07,"BURGER KING #22546       DACONO       CO","BURGER KING #22546       DACONO       CO",Category Pending,-14.60,Posted
2025-04-07,"BURGER KING #22546       DACONO       CO","BURGER KING #22546       DACONO       CO",Category Pending,-14.60,Posted
2025-04-04,"QT 4202 OUTSIDE          FIRESTONE    CO","QT 4202 OUTSIDE          FIRESTONE    CO",Category Pending,-68.00,Posted
2025-04-04,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-16.21,Posted
2025-04-03,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-50.00,Posted
2025-04-03,"DD *DOORDASH SONICDRIV   855-973-1040 CA","DD *DOORDASH SONICDRIV   855-973-1040 CA",Category Pending,-34.13,Posted
2025-04-03,"SONIC DRIVE IN #6674     ERIE         CO","SONIC DRIVE IN #6674     ERIE         CO",Category Pending,-16.10,Posted
2025-04-03,"DUTCH BROS CO1301 WESTM  WESTMINSTER  CO","DUTCH BROS CO1301 WESTM  WESTMINSTER  CO",Category Pending,-7.11,Posted
2025-04-02,"HUDSON ST 1476           SEATAC       WA","HUDSON ST 1476           SEATAC       WA",Category Pending,-28.43,Posted
2025-04-02,"CHEVRON 0380309          KENT         WA","CHEVRON 0380309          KENT         WA",Category Pending,-22.43,Posted
2025-04-02,"SONIC DRIVE IN #6221     TACOMA       WA","SONIC DRIVE IN #6221     TACOMA       WA",Category Pending,-16.09,Posted
2025-04-02,"STARBUCKS 00313          LAKEWOOD     WA","STARBUCKS 00313          LAKEWOOD     WA",Category Pending,-11.67,Posted
2025-04-02,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,668.29,Posted
2025-04-01,"Microsoft*Ultimate 1 Mo  425-6816830  WA","Microsoft*Ultimate 1 Mo  425-6816830  WA",Category Pending,-21.47,Posted
2025-03-31,"WM SUPERCENTER #3867     WESTMINSTER  CO","WM SUPERCENTER #3867     WESTMINSTER  CO",Category Pending,-216.11,Posted
2025-03-31,"QT 4202 OUTSIDE          FIRESTONE    CO","QT 4202 OUTSIDE          FIRESTONE    CO",Category Pending,-68.17,Posted
2025-03-31,"VAPE ZONE                WESTMINSTER  CO","VAPE ZONE                WESTMINSTER  CO",Category Pending,-55.16,Posted
2025-03-31,"TST* TASTES ON THE FLY-  DENVER       CO","TST* TASTES ON THE FLY-  DENVER       CO",Category Pending,-53.43,Posted
2025-03-31,"INMOTION-761             COLORADO     CO","INMOTION-761             COLORADO     CO",Category Pending,-36.01,Posted
2025-03-31,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-34.90,Posted
2025-03-31,"TACOMA RED               TACOMA       WA","TACOMA RED               TACOMA       WA",Category Pending,-28.00,Posted
2025-03-31,"WM SUPERCENTER #3537     LAKEWOOD     WA","WM SUPERCENTER #3537     LAKEWOOD     WA",Category Pending,-26.94,Posted
2025-03-31,"BRUNTZ TOOLS LLC         THORNTON     CO","BRUNTZ TOOLS LLC         THORNTON     CO",Category Pending,-23.74,Posted
2025-03-31,"BURGER KING #17340       FIRESTONE    CO","BURGER KING #17340       FIRESTONE    CO",Category Pending,-13.08,Posted
2025-03-31,"DUTCH BROS CO0305 THORN  THORNTON     CO","DUTCH BROS CO0305 THORN  THORNTON     CO",Category Pending,-12.59,Posted
2025-03-31,"PILOT #1173              TACOMA       WA","PILOT #1173              TACOMA       WA",Category Pending,-7.70,Posted
2025-03-31,"TACO BELL 733370         LONGMONT     CO","TACO BELL 733370         LONGMONT     CO",Category Pending,-6.51,Posted
2025-03-31,"TACO BELL 723306         THORNTON     CO","TACO BELL 723306         THORNTON     CO",Category Pending,-3.88,Posted
2025-03-31,"ATM REBATE","ATM REBATE",Category Pending,3.00,Posted
2025-03-27,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-80.00,Posted
2025-03-27,"Vape Pros Broomfield     Broomfield   CO","Vape Pros Broomfield     Broomfield   CO",Category Pending,-55.87,Posted
2025-03-27,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-12.75,Posted
2025-03-26,"CHRIS VIETH SNAP ON TOO  THRONTON     CO","CHRIS VIETH SNAP ON TOO  THRONTON     CO",Category Pending,-85.52,Posted
2025-03-26,"EFT                      Thornton     CO","EFT                      Thornton     CO",Category Pending,-58.00,Posted
2025-03-26,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-12.75,Posted
2025-03-26,"ATM REBATE","ATM REBATE",Category Pending,3.00,Posted
2025-03-26,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,586.70,Posted
2025-03-25,"HOLIDAY INN & SUITES     GRAND JUNCTIOCO","HOLIDAY INN & SUITES     GRAND JUNCTIOCO",Category Pending,-499.45,Posted
2025-03-25,"7-ELEVEN                 Frederick    CO","7-ELEVEN                 Frederick    CO",Category Pending,-74.40,Posted
2025-03-24,"TST* BLADE AND BONE LLC  GRAND JUNCTIOCO","TST* BLADE AND BONE LLC  GRAND JUNCTIOCO",Category Pending,-82.45,Posted
2025-03-24,"STOP N SAV               GRAND JUNCTIOCO","STOP N SAV               GRAND JUNCTIOCO",Category Pending,-53.40,Posted
2025-03-24,"STOP N SAV               GRAND JUNCTIOCO","STOP N SAV               GRAND JUNCTIOCO",Category Pending,-52.46,Posted
2025-03-24,"CHIPOTLE 0946            GRAND JUNCTIOCO","CHIPOTLE 0946            GRAND JUNCTIOCO",Category Pending,-38.68,Posted
2025-03-24,"HOLIDAY INN GRAND JUNC   970-4049668  CO","HOLIDAY INN GRAND JUNC   970-4049668  CO",Category Pending,-32.50,Posted
2025-03-24,"HOLIDAY INN & SUITES     GRAND JUNCTIOCO","HOLIDAY INN & SUITES     GRAND JUNCTIOCO",Category Pending,-24.25,Posted
2025-03-24,"HOLIDAY INN GRAND JUNC   970-4049668  CO","HOLIDAY INN GRAND JUNC   970-4049668  CO",Category Pending,-23.10,Posted
2025-03-24,"CHICK-FIL-A #02061       THORNTON     CO","CHICK-FIL-A #02061       THORNTON     CO",Category Pending,-17.44,Posted
2025-03-24,"STOP N SAV               GRAND JUNCTIOCO","STOP N SAV               GRAND JUNCTIOCO",Category Pending,-17.03,Posted
2025-03-24,"HOLIDAY INN GRAND JUNC   970-4049668  CO","HOLIDAY INN GRAND JUNC   970-4049668  CO",Category Pending,-13.58,Posted
2025-03-24,"COCA COLA GRAND JUNCTIO  GRAND JCT    CO","COCA COLA GRAND JUNCTIO  GRAND JCT    CO",Category Pending,-2.10,Posted
2025-03-21,"FREDDY'S 63-0002         GRAND JUNCTIOCO","FREDDY'S 63-0002         GRAND JUNCTIOCO",Category Pending,-26.67,Posted
2025-03-21,"6906 GREAT CLIPS GJ RIM  GRAND JUNCTIOCO","6906 GREAT CLIPS GJ RIM  GRAND JUNCTIOCO",Category Pending,-21.00,Posted
2025-03-21,"Subway 25750             Cortez       CO","Subway 25750             Cortez       CO",Category Pending,-18.12,Posted
2025-03-21,"PLAY IT AGAIN SPORTS #   GRAND JUNCTIOCO","PLAY IT AGAIN SPORTS #   GRAND JUNCTIOCO",Category Pending,-17.76,Posted
2025-03-20,"INTEREST PAID","INTEREST PAID",Category Pending,0.02,Posted
2025-03-20,"VAPE WORLD & TOBACCO     BRIGHTON     CO","VAPE WORLD & TOBACCO     BRIGHTON     CO",Category Pending,-119.33,Posted
2025-03-20,"WAL-MART #5099           GRAND JUNCTIOCO","WAL-MART #5099           GRAND JUNCTIOCO",Category Pending,-38.39,Posted
2025-03-20,"7-ELEVEN                 Frederick    CO","7-ELEVEN                 Frederick    CO",Category Pending,-32.66,Posted
2025-03-20,"BURGER KING #4268        DENVER       CO","BURGER KING #4268        DENVER       CO",Category Pending,-20.53,Posted
2025-03-20,"7-ELEVEN                 Frederick    CO","7-ELEVEN                 Frederick    CO",Category Pending,-12.79,Posted
2025-03-19,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,707.85,Posted
2025-03-18,"TACO BELL 733370         LONGMONT     CO","TACO BELL 733370         LONGMONT     CO",Category Pending,-13.02,Posted
2025-03-18,"ANDY'S - DENVER 1-70     DENVER       CO","ANDY'S - DENVER 1-70     DENVER       CO",Category Pending,-6.47,Posted
2025-03-17,"DISCOVER         E-PAYMENT  ***********2205","DISCOVER         E-PAYMENT  ***********2205",Category Pending,-50.00,Posted
2025-03-17,"CAPITAL ONE      MOBILE PMT ***********UUG6","CAPITAL ONE      MOBILE PMT ***********UUG6",Category Pending,-50.00,Posted
2025-03-17,"Zelle: Caitlyn","Zelle: Caitlyn",Category Pending,-141.00,Posted
2025-03-17,"LOVE ETC - THORNTON      THORNTON     CO","LOVE ETC - THORNTON      THORNTON     CO",Category Pending,-75.90,Posted
2025-03-17,"PLAY IT AGAIN SPORTS     LONGMONT     CO","PLAY IT AGAIN SPORTS     LONGMONT     CO",Category Pending,-68.02,Posted
2025-03-17,"QT 4210 OUTSIDE          DENVER       CO","QT 4210 OUTSIDE          DENVER       CO",Category Pending,-65.38,Posted
2025-03-17,"TEXAS ROADHOUSE #2032    NORTHGLENN   CO","TEXAS ROADHOUSE #2032    NORTHGLENN   CO",Category Pending,-55.05,Posted
2025-03-17,"KING SOOPERS FUEL # 0716 THORNTON     CO","KING SOOPERS FUEL # 0716 THORNTON     CO",Category Pending,-48.56,Posted
2025-03-17,"TACO BELL 23306          THORNTON     CO","TACO BELL 23306          THORNTON     CO",Category Pending,-12.89,Posted
2025-03-17,"PANDORA*INTERNET RADIO   PDORA.COM/BILCA","PANDORA*INTERNET RADIO   PDORA.COM/BILCA",Category Pending,-11.31,Posted
2025-03-17,"TACO BELL 733370         LONGMONT     CO","TACO BELL 733370         LONGMONT     CO",Category Pending,-6.51,Posted
2025-03-14,"AMAZON MKTPL*HW7645ZK3   Amzn.com/billWA","AMAZON MKTPL*HW7645ZK3   Amzn.com/billWA",Category Pending,-130.83,Posted
2025-03-14,"7-ELEVEN                 Frederick    CO","7-ELEVEN                 Frederick    CO",Category Pending,-58.91,Posted
2025-03-14,"Zelle: Caitlyn","Zelle: Caitlyn",Category Pending,-50.00,Posted
2025-03-14,"AMAZON PRIME*GT1FX3UC3   Amzn.com/billWA","AMAZON PRIME*GT1FX3UC3   Amzn.com/billWA",Category Pending,-7.97,Posted
2025-03-14,"TACO BELL 733370         LONGMONT     CO","TACO BELL 733370         LONGMONT     CO",Category Pending,-6.51,Posted
2025-03-13,"AMAZON.COM               SEATTLE      WA","AMAZON.COM               SEATTLE      WA",Category Pending,-109.40,Posted
2025-03-13,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-100.00,Posted
2025-03-13,"TACO BELL 733370         LONGMONT     CO","TACO BELL 733370         LONGMONT     CO",Category Pending,-7.60,Posted
2025-03-12,"SQ *RED STAR VAPOR-LONG  Longmont     CO","SQ *RED STAR VAPOR-LONG  Longmont     CO",Category Pending,-44.55,Posted
2025-03-12,"FREDDY'S 16-0001         LONGMONT     CO","FREDDY'S 16-0001         LONGMONT     CO",Category Pending,-22.37,Posted
2025-03-12,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,1010.62,Posted
2025-03-11,"Zelle: Clayton","Zelle: Clayton",Category Pending,-250.00,Posted
2025-03-11,"CIRCLE K # 41129         BROOMFIELD   CO","CIRCLE K # 41129         BROOMFIELD   CO",Category Pending,-72.00,Posted
2025-03-11,"TACO BELL PH 3768        LONGMONT     CO","TACO BELL PH 3768        LONGMONT     CO",Category Pending,-7.20,Posted
2025-03-10,"TEXAS ROADHOUSE #2032    NORTHGLENN   CO","TEXAS ROADHOUSE #2032    NORTHGLENN   CO",Category Pending,-69.14,Posted
2025-03-10,"INFINITY VAPE & GLASS    NORTHGLENN   CO","INFINITY VAPE & GLASS    NORTHGLENN   CO",Category Pending,-32.53,Posted
2025-03-10,"WENDY'S - 8063           FIRESTONE    CO","WENDY'S - 8063           FIRESTONE    CO",Category Pending,-18.72,Posted
2025-03-10,"BURGER KING #17340       FIRESTONE    CO","BURGER KING #17340       FIRESTONE    CO",Category Pending,-13.08,Posted
2025-03-06,"AUTOZONE  6298           BROOMFILED   CO","AUTOZONE  6298           BROOMFILED   CO",Category Pending,-59.45,Posted
2025-03-06,"QT 4202 OUTSIDE          FIRESTONE    CO","QT 4202 OUTSIDE          FIRESTONE    CO",Category Pending,-57.26,Posted
2025-03-06,"CPP*BIG BEAR ICE ARENA   DENVER       CO","CPP*BIG BEAR ICE ARENA   DENVER       CO",Category Pending,-44.00,Posted
2025-03-06,"QDOBA 2251               WESTMINSTER  CO","QDOBA 2251               WESTMINSTER  CO",Category Pending,-34.44,Posted
2025-03-06,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-19.01,Posted
2025-03-05,"EFT                      Thornton     CO","EFT                      Thornton     CO",Category Pending,-58.00,Posted
2025-03-05,"PUREHOCKEY221WESTMINST   WESTMINSTER  CO","PUREHOCKEY221WESTMINST   WESTMINSTER  CO",Category Pending,-39.01,Posted
2025-03-05,"DADDY DANKZ III INC      THORNTON     CO","DADDY DANKZ III INC      THORNTON     CO",Category Pending,-33.41,Posted
2025-03-05,"ATM REBATE","ATM REBATE",Category Pending,3.00,Posted
2025-03-05,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,808.18,Posted
2025-03-04,"WM SUPERCENTER #905      LONGMONT     CO","WM SUPERCENTER #905      LONGMONT     CO",Category Pending,-78.07,Posted
2025-03-04,"SONIC DRIVE IN #6878     THORNTON     CO","SONIC DRIVE IN #6878     THORNTON     CO",Category Pending,-17.24,Posted
2025-03-04,"SONIC DRIVE IN #6878     THORNTON     CO","SONIC DRIVE IN #6878     THORNTON     CO",Category Pending,-15.40,Posted
2025-03-03,"QT 4202 OUTSIDE          FIRESTONE    CO","QT 4202 OUTSIDE          FIRESTONE    CO",Category Pending,-58.04,Posted
2025-03-03,"DAIRY QUEEN #13255       BRIGHTON     CO","DAIRY QUEEN #13255       BRIGHTON     CO",Category Pending,-22.97,Posted
2025-03-03,"Microsoft*Ultimate 1 Mo  425-6816830  WA","Microsoft*Ultimate 1 Mo  425-6816830  WA",Category Pending,-21.47,Posted
2025-03-03,"BURGER KING #17340       FIRESTONE    CO","BURGER KING #17340       FIRESTONE    CO",Category Pending,-15.82,Posted
2025-03-03,"BURGER KING #22546       DACONO       CO","BURGER KING #22546       DACONO       CO",Category Pending,-14.60,Posted
2025-02-28,"SB ATM 1                 DENVER       CO","SB ATM 1                 DENVER       CO",Category Pending,-28.30,Posted
2025-02-28,"ATM REBATE","ATM REBATE",Category Pending,3.30,Posted
2025-02-27,"VENMO  *Evgeny Eustace   Visa Direct  NY","VENMO  *Evgeny Eustace   Visa Direct  NY",Category Pending,-70.00,Posted
2025-02-27,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-70.00,Posted
2025-02-27,"QT 4202 OUTSIDE          FIRESTONE    CO","QT 4202 OUTSIDE          FIRESTONE    CO",Category Pending,-60.10,Posted
